energy_system_scenario,freight_demand_scenario,year,region,technology,energy_price,energy_price_unit
50% CO2 reduction by 2050,Agricultural Shift,2030,north_east,catenary,0.098136642,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2030,north_east,battery,0.098136642,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2030,north_west,diesel,3.13,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2030,north_west,hydrogen,2.689754866,$/kgH2
50% CO2 reduction by 2050,Agricultural Shift,2030,north_west,biodiesel,3.963294433,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2030,north_west,catenary,0.082723829,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2030,north_west,battery,0.082723829,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2030,south_east,diesel,3.72,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2030,south_east,hydrogen,2.68662021,$/kgH2
50% CO2 reduction by 2050,Agricultural Shift,2030,south_east,biodiesel,5.419124208,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2030,south_east,catenary,0.091720405,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2030,south_east,battery,0.091720405,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2030,south_west,diesel,4.01,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2030,south_west,hydrogen,2.673808859,$/kgH2
50% CO2 reduction by 2050,Agricultural Shift,2030,south_west,biodiesel,3.959307124,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2030,south_west,catenary,0.114149722,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2030,south_west,battery,0.114149722,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2030,texas,diesel,4.0,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2030,texas,hydrogen,2.706140804,$/kgH2
50% CO2 reduction by 2050,Agricultural Shift,2030,texas,biodiesel,5.268785111,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2030,texas,catenary,0.086003582,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2030,texas,battery,0.086003582,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2035,california,diesel,2.93,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2035,california,hydrogen,1.966695702,$/kgH2
50% CO2 reduction by 2050,Agricultural Shift,2035,california,biodiesel,3.267081289,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2035,california,catenary,0.080332672,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2035,california,battery,0.080332672,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2035,central,diesel,3.61,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2035,central,hydrogen,1.980449119,$/kgH2
50% CO2 reduction by 2050,Agricultural Shift,2035,central,biodiesel,4.300778275,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2035,central,catenary,0.061560617,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2035,central,battery,0.061560617,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2035,middle_atlantic,diesel,2.95,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2035,middle_atlantic,hydrogen,2.079351827,$/kgH2
50% CO2 reduction by 2050,Agricultural Shift,2035,middle_atlantic,biodiesel,5.002820923,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2035,middle_atlantic,catenary,0.068154633,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2035,middle_atlantic,battery,0.068154633,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2035,north_central,diesel,3.89,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2035,north_central,hydrogen,2.013575106,$/kgH2
50% CO2 reduction by 2050,Agricultural Shift,2035,north_central,biodiesel,4.340922023,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2035,north_central,catenary,0.063772648,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2035,north_central,battery,0.063772648,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2035,north_east,diesel,3.05,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2035,north_east,hydrogen,2.382316009,$/kgH2
50% CO2 reduction by 2050,Agricultural Shift,2035,north_east,biodiesel,4.698499947,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2035,north_east,catenary,0.080383778,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2035,north_east,battery,0.080383778,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2035,north_west,diesel,3.06,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2035,north_west,hydrogen,1.705240271,$/kgH2
50% CO2 reduction by 2050,Agricultural Shift,2035,north_west,biodiesel,3.098247825,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2035,north_west,catenary,0.071743386,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2035,north_west,battery,0.071743386,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2035,south_east,diesel,3.51,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2035,south_east,hydrogen,1.943433667,$/kgH2
50% CO2 reduction by 2050,Agricultural Shift,2035,south_east,biodiesel,4.449597476,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2035,south_east,catenary,0.076655231,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2035,south_east,battery,0.076655231,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2035,south_west,diesel,4.08,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2035,south_west,hydrogen,1.699607931,$/kgH2
50% CO2 reduction by 2050,Agricultural Shift,2035,south_west,biodiesel,3.105734171,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2035,south_west,catenary,0.078243568,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2035,south_west,battery,0.078243568,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2035,texas,diesel,3.31,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2035,texas,hydrogen,1.876957542,$/kgH2
50% CO2 reduction by 2050,Agricultural Shift,2035,texas,biodiesel,4.321281954,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2035,texas,catenary,0.065398272,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2035,texas,battery,0.065398272,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2040,california,diesel,3.73,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2040,california,hydrogen,2.494742852,$/kgH2
50% CO2 reduction by 2050,Agricultural Shift,2040,california,biodiesel,2.559309183,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2040,california,catenary,0.072094134,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2040,california,battery,0.072094134,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2040,central,diesel,3.08,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2040,central,hydrogen,1.888845951,$/kgH2
50% CO2 reduction by 2050,Agricultural Shift,2040,central,biodiesel,3.418348447,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2040,central,catenary,0.046709388,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2040,central,battery,0.046709388,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2040,middle_atlantic,diesel,3.43,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2040,middle_atlantic,hydrogen,1.854667126,$/kgH2
50% CO2 reduction by 2050,Agricultural Shift,2040,middle_atlantic,biodiesel,3.976982965,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2040,middle_atlantic,catenary,0.057012295,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2040,middle_atlantic,battery,0.057012295,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2040,north_central,diesel,2.85,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2040,north_central,hydrogen,1.848883542,$/kgH2
50% CO2 reduction by 2050,Agricultural Shift,2040,north_central,biodiesel,3.430065113,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2040,north_central,catenary,0.049384695,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2040,north_central,battery,0.049384695,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2040,north_east,diesel,3.39,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2040,north_east,hydrogen,1.997848458,$/kgH2
50% CO2 reduction by 2050,Agricultural Shift,2040,north_east,biodiesel,3.751178059,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2040,north_east,catenary,0.06686096,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2040,north_east,battery,0.06686096,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2040,north_west,diesel,3.02,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2040,north_west,hydrogen,1.938349881,$/kgH2
50% CO2 reduction by 2050,Agricultural Shift,2040,north_west,biodiesel,2.432274069,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2040,north_west,catenary,0.058476305,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2040,north_west,battery,0.058476305,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2040,south_east,diesel,3.16,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2040,south_east,hydrogen,1.775253049,$/kgH2
50% CO2 reduction by 2050,Agricultural Shift,2040,south_east,biodiesel,3.544268066,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2040,south_east,catenary,0.062862216,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2040,south_east,battery,0.062862216,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2040,south_west,diesel,3.69,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2040,south_west,hydrogen,1.945047653,$/kgH2
50% CO2 reduction by 2050,Agricultural Shift,2040,south_west,biodiesel,2.435017697,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2040,south_west,catenary,0.063187387,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2040,south_west,battery,0.063187387,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2040,texas,diesel,4.14,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2040,texas,hydrogen,1.825362231,$/kgH2
50% CO2 reduction by 2050,Agricultural Shift,2040,texas,biodiesel,3.44081062,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2040,texas,catenary,0.053094995,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2040,texas,battery,0.053094995,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2045,california,diesel,3.69,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2045,california,hydrogen,2.545139645,$/kgH2
50% CO2 reduction by 2050,Agricultural Shift,2045,california,biodiesel,1.998854781,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2045,california,catenary,0.059896612,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2045,california,battery,0.059896612,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2045,central,diesel,4.11,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2045,central,hydrogen,1.960285681,$/kgH2
50% CO2 reduction by 2050,Agricultural Shift,2045,central,biodiesel,2.784908712,$/gallon
50% CO2 reduction by 2050,Agricultural Shift,2045,central,catenary,0.041350828,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2045,central,battery,0.041350828,$/kWh
50% CO2 reduction by 2050,Agricultural Shift,2045,middle_atlantic,diesel,3.06,$/gallon
