Dist(mi),SpdLim(mph),Grade(%),Curve(Doc),Catenary(Y/N),Elev
146.9471076,60.0,2.239,1.105,1,3958.443017
147.2157206,60.0,3.39,1.289,1,4006.516664
147.498977,57.285017,2.671,1.741,1,4046.469138
147.7469848,22.30732471,3.912,11.483,1,4097.693966
148.0251701,25.63829369,-0.347,8.693,0,4092.598098
148.318254,28.08399445,3.646,7.245,1,4149.018443
148.5661102,22.58354846,2.338,11.204,1,4179.621012
148.8389197,60.0,0.026,0.64,0,4179.989623
149.1117292,35.70035273,5.363,4.483,1,4257.24479
149.408693,35.74893267,3.447,4.471,1,4311.295849
149.7107427,53.22923708,1.977,2.017,0,4342.831755
150.0051812,38.86964941,0.567,3.782,0,4351.646964
150.2935682,60.0,3.34,1.413,1,4402.507306
150.5998121,59.03754754,2.44,1.639,1,4441.953513
150.9062188,58.03472761,2.554,1.697,1,4483.274538
151.2136334,60.0,1.91,0.16,0,4514.283916
151.5235143,47.8763642,0.306,2.493,0,4519.29476
151.8300832,60.0,3.025,0.385,1,4568.264405
152.129323,57.47008857,1.834,1.73,0,4597.244966
152.4380941,60.0,0.123,1.518,0,4599.252044
152.7431506,56.42247088,2.703,1.795,1,4642.796946
